0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:34 +0800] "GET /laboratoryweb/getTeacherName?teacherAccount=20001 HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:36 +0800] "GET /laboratoryweb/statisticsInfo?_=1587817134466 HTTP/1.1" 200 5722
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:36 +0800] "POST /laboratoryweb/getAllTimeSection HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:42:04 +0800] "GET /laboratoryweb/exit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:42:04 +0800] "GET /laboratoryweb/login HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:42:04 +0800] "GET /laboratoryweb/kaptcha.jpg HTTP/1.1" 200 3737
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:42:17 +0800] "GET /laboratoryweb/getCheckWord HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:42:17 +0800] "POST /laboratoryweb/login HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:42:17 +0800] "GET /laboratoryweb/studentPage HTTP/1.1" 200 6402
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:42:17 +0800] "GET /laboratoryweb/resources/js/studentPage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:42:17 +0800] "GET /laboratoryweb/student/index?_=1587818537165 HTTP/1.1" 200 4265
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:42:17 +0800] "GET /laboratoryweb/getNoticeList?_=1587818537166 HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:42:18 +0800] "GET /laboratoryweb/laboratoryInfo?_=1587818537167 HTTP/1.1" 200 6183
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:42:18 +0800] "POST /laboratoryweb/getAllTimeSection HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:42:18 +0800] "POST /laboratoryweb/getPagerLaboratorys HTTP/1.1" 200 1935
